ITEMNAME,sales_channel,unit_weight
9124-40 - CALDERA 13 - HTF   55GL DRUM BLK,NON-DISTRIBUTION,396
KRO-942     30G DRUM,NON-DISTRIBUTION,345
TECHNISEAL 1170     5G PAIL,NON-DISTRIBUTION,57
"USL-500 HIGH TEMP OVEN OIL     350G TOTE (1""",NON-DISTRIBUTION,2635
ASSURANCE 6635     208L/55G DRUM,NON-DISTRIBUTION,479
STERILEX ULTRA SOFT METAL ACTIVATOR     55G DRUM,NON-DISTRIBUTION,517
PERKOTE 30-367     330G TOTE,NON-DISTRIBUTION,2286
ULTRAPHOS 1000     201L/53G,NON-DISTRIBUTION,595
UNI KLEEN 1705     201L/53G,NON-DISTRIBUTION,550
PERCHEM 4805      1GL JUG,NON-DISTRIBUTION,9
ROCKLEEN ORANGE 6512   275G TOTE,NON-DISTRIBUTION,2558.32305
JETTACIN     18.9L/5G PAIL,NON-DISTRIBUTION,43
MPG-2      54.4 KG / 120 LB   MDR,NON-DISTRIBUTION,120
ISO-32 AW HYDRAULIC OIL     55G DRUM,NON-DISTRIBUTION,399
PERDRAW 7392-C      330LB   DRUM,NON-DISTRIBUTION,330
GF ADD 610      55G DRUM,NON-DISTRIBUTION,476
DURATEC 400     1249L/330G,NON-DISTRIBUTION,2809
CIMSTAR 60XL     5G / 19L PINK PLASTIC PAIL,NON-DISTRIBUTION,44
CU-STRIP L     189L/50G,NON-DISTRIBUTION,525
POLYQUENCH 15-XN NTN  1249L/330G  TOTE,NON-DISTRIBUTION,2897
CW-28L     55G DRUM,NON-DISTRIBUTION,539
BLUE STAR CLE 5520     QTR DRUM   (20),NON-DISTRIBUTION,100
C-ADDITIVE FB     5G PAIL,NON-DISTRIBUTION,43
6245-22 - PARTIAL-SYN VAC-PUMP LUBE   55GL DRUM BLK,NON-DISTRIBUTION,390
6088-350 - SILICONE AIR COMP LUBE   5GL PAIL TH,NON-DISTRIBUTION,40
2095-5 - CALDERA 12 - FG LT HTF   5GL PAIL TH,NON-DISTRIBUTION,35
GF ACID CLEAN 2510      50 LB   PAIL,NON-DISTRIBUTION,50
SPINDLE OIL 3       55GL DRUM,NON-DISTRIBUTION,362
SCL-635-EP 208L/55G DRUM,NON-DISTRIBUTION,420
CIMSTAR 40     5G / 19L PINK PLASTIC PAIL,NON-DISTRIBUTION,44
PUREGUARD R&O 220     55G DRUM (ECOLAB LOT REQUIREMENT),NON-DISTRIBUTION,409
PERKOTE 30-269     5GLPL,NON-DISTRIBUTION,34
PERKOTE 40-315-B      55GL DRUM,NON-DISTRIBUTION,415
6064-46 - ADV FG AIR COMP LUBE   5GL PAIL BL,NON-DISTRIBUTION,36
PRE-SOAK UU-V2     BULK GALLONS,NON-DISTRIBUTION,9.045
CIMPULSE 51MP   330G / 1249L TOTE (NET),NON-DISTRIBUTION,2711
ANTIFOAM A     1 GL BOTTLE,NON-DISTRIBUTION,8
SP-600 HIGH TEMP SYN CHAIN LUBE     55G DRUM,NON-DISTRIBUTION,430
MULTI-KLEEN CP     204L/54G,NON-DISTRIBUTION,525
JAX PYRO-PLATE EPN-2     50 CART CASE,NON-DISTRIBUTION,50
PERLUBE EP-150      1GL JUG,NON-DISTRIBUTION,8
TROJAN 32   5G/19L PAIL,NON-DISTRIBUTION,38.39088888888889
CITCLEAN     BULK GALLONS,NON-DISTRIBUTION,8.375
FORM OIL 401      250GL TOTE,NON-DISTRIBUTION,1812
LOW TEMP DRAW SALT WHITE W/O     50 LB   BAG,NON-DISTRIBUTION,50
TECHNIPREP WAX 100 IR     55G DRUM,NON-DISTRIBUTION,463
GF MASK 162        55G DRUM,NON-DISTRIBUTION,466
PERKUT 487      BULK GALLONS,NON-DISTRIBUTION,7.447050000000002
2587-EP1 - LOW TEMP ALUMINUM COMPLEX GREASE EP1 10-14OZ TUBE,NON-DISTRIBUTION,8.75
ALL BRITE-750     BULK GALLONS,NON-DISTRIBUTION,8.416875
CIMTECH 3150-VLZ     275G / 1041L TOTE,NON-DISTRIBUTION,2428
LC-8200-2X     BULK GALLONS,NON-DISTRIBUTION,8.936125
EVERSTAY MOLY XD-2 GREASE    UNL  120 LB DRUM,NON-DISTRIBUTION,120
50 QUENCH OIL     1249L/330G TOTE,NON-DISTRIBUTION,2368
GF CLEAN 410     1249L/330G TOTE,NON-DISTRIBUTION,3222
ACCUCUT PLO     55G DRUM,NON-DISTRIBUTION,422
6019-32 - DIESTER AIR COMP LUBE   1GL 4X1 CASE BLK,NON-DISTRIBUTION,29
PERKUT 234      55GL DRUM,NON-DISTRIBUTION,415
6019-68 - DIESTER AIR COMP LUBE   1GL 4X1 CASE BLK,NON-DISTRIBUTION,30
PERLUBE AW-68-S      5GLPL,NON-DISTRIBUTION,37
6731-220 - SYN BLOWER LUBE   1GL 4X1 CASE,NON-DISTRIBUTION,29
PERLUBE RO-22      55GL DRUM,NON-DISTRIBUTION,395
ISO-32 R&O OIL     5G PAIL,NON-DISTRIBUTION,36
CIMSTAR 3890     5G / 19L PINK PLASTIC PAIL,NON-DISTRIBUTION,42
TPG     400LB DRUM,NON-DISTRIBUTION,400
ROLLGLEAM 4950     18.9L/5G,NON-DISTRIBUTION,45
ACCUDRAW 300     55G DRUM,NON-DISTRIBUTION,442
CIMSTAR 10-85VG     55G / 208L PINK STEEL DRUM,NON-DISTRIBUTION,476
BLUE FORM 4230RD BLUE     1249L/330G TOTE,NON-DISTRIBUTION,2875
PERDRAW 7308      5GLPL,NON-DISTRIBUTION,73
C-LUBE EX6A COP     250# DRUM,NON-DISTRIBUTION,250
MONITROL 1130      18.9L/5G,NON-DISTRIBUTION,43
SPIRIT 126      18.9L/5G,NON-DISTRIBUTION,31
PERLUBE EP-0 (AL)     400LB DRUM,NON-DISTRIBUTION,400
VISCOOL 6325 NT   275G TOTE,NON-DISTRIBUTION,2470.1736000000005
PERLUBE AW-46-S      550GL STL TOTE,NON-DISTRIBUTION,4004
PERKLEEN 1240      55G DRUM,NON-DISTRIBUTION,483
POWERCLEAN 954M     275G TOTE,NON-DISTRIBUTION,2330
CIMPERIAL 18P     55G / 208L PINK STEEL DRUM,NON-DISTRIBUTION,428
PHOSPHORIC ACID 75%     2800# TOTE,NON-DISTRIBUTION,2800
PERKOOL 714      5GLPL,NON-DISTRIBUTION,44
CONFIDENCE 60-C       18.9L/5G,NON-DISTRIBUTION,48
7723CD OIL BLANK WASH   275G/1040L TOTE,NON-DISTRIBUTION,2319.8988
CIMGUARD RI-400      55G / 208L WHITE PLASTIC DRUM,NON-DISTRIBUTION,466
PERDRAW 1075      55GL DRUM,NON-DISTRIBUTION,362
GF CLEAN 406      55G DRUM,NON-DISTRIBUTION,504
TECHNIGUARD CB 290     5G PAIL,NON-DISTRIBUTION,42
ALTRABRITE H 45      55G DRUM,NON-DISTRIBUTION,473
DUAL PURPOSE WAYLUBE 32   55G/208L DRUM,NON-DISTRIBUTION,418.35695
2217-100 - SEMI-SYNTHETIC TURBINE LUBRICANT     12X1 CASE FS,NON-DISTRIBUTION,21.7
PERKOTE 10-700-A      55GL DRUM,NON-DISTRIBUTION,476
MITFLOC 5831L     TOTE,NON-DISTRIBUTION,3774
6064-68 - ADV FG AIR COMP LUBE   55GL DRUM BLK,NON-DISTRIBUTION,399
FLOCULITE 1124     208L/55G (18),NON-DISTRIBUTION,450
PROCESS OIL 22   55G DRUM,NON-DISTRIBUTION,456.9165
GF ADJUST 477       55G DRUM,NON-DISTRIBUTION,502
GF CLEAN 6045XY      1249L/330G,NON-DISTRIBUTION,2946
CIMSTAR 40 PINK     BULK GALLONS,NON-DISTRIBUTION,7.7263
PERKOTE 30-266      330GL PL TOTE,NON-DISTRIBUTION,2192
UNI KLEEN 1733     400 LB   FDR,NON-DISTRIBUTION,400
GF CLEAN 770      400 LB   FDR,NON-DISTRIBUTION,400
6863-68 - EXT-LIFE AIR COMP LUBE   5GL PAIL GRY,NON-DISTRIBUTION,38
QUENCH OIL 1080 FAST   500G TOTE,NON-DISTRIBUTION,4277.5
MONITROL 2302     520LB DRUM,NON-DISTRIBUTION,519.796
DU-SOLV  330 GL TOTE (D-IBC),NON-DISTRIBUTION,2418
PHOS DIP 52AJ     1234L/326G,NON-DISTRIBUTION,4300
THERMO-QUENCH WHITE W/O     400 LB   FDR,NON-DISTRIBUTION,400
PERDRAW 1286-T      1249L/330G,NON-DISTRIBUTION,2165
4465 BLANK WASH CONCENTRATE   5G/19L PAIL,NON-DISTRIBUTION,40.04436532051281
BRIGHT TEST HW 2X  330G TOTE,NON-DISTRIBUTION,3250
SST-117J     400 LB   FDR,NON-DISTRIBUTION,400
ELECTRO-KLEEN 1448     400 LB   FDR,NON-DISTRIBUTION,400
LC-4222     55G DRUM,NON-DISTRIBUTION,477
LUBRICOOLANT XL      1249L/330G,NON-DISTRIBUTION,2653
PARCURE 290     50 LB   BAG,NON-DISTRIBUTION,50
2243-46 - MIN-OIL AW HYDR FLUID   55GL DRUM BLK,NON-DISTRIBUTION,396
GX COOL 3890CSL     1249L/330G,NON-DISTRIBUTION,2684
DRYLUBE POLYDIP     1249L/330G *C,NON-DISTRIBUTION,2773
CLG-2     30-14oz TUBES/CASE,NON-DISTRIBUTION,27
ASSURANCE 6235     BULK GAL/L,NON-DISTRIBUTION,8.7359625
ONE-PLATE 1001Q      DRUM   (10),NON-DISTRIBUTION,560.33
CIMTECH GL 2015G,NON-DISTRIBUTION,3009
CIMTECH GL2015 PINK     55G / 208L BLUE PLASTIC DRUM,NON-DISTRIBUTION,503
CIMSTAR 60C-HFP BLUE     55G / 208L PINK STEEL DRUM,NON-DISTRIBUTION,478
POLY D-TAC      197L/52G,NON-DISTRIBUTION,450
SODIUM CYANIDE     BLACK DRUM,NON-DISTRIBUTION,110
PEN DIP SUPER     18.9L/5G,NON-DISTRIBUTION,33
PERKUT 286-F      55GL DRUM,NON-DISTRIBUTION,396
PERKOTE 80-348-C      5GLPL,NON-DISTRIBUTION,37
VALRUST 1609   5G PAIL TH,NON-DISTRIBUTION,37.2
VISCOR CALIBRATION FLUID 1487 AW-2   330G/1250L TOTE,NON-DISTRIBUTION,2556.8469
