ITEMNAME,sales_channel,mapped_pack_size,anchor_pack,pl1,pl2,pl3,pl4,segment_enterprise_anchor_target_price,segment_a_anchor_target_price,segment_b_anchor_target_price,segment_c_anchor_target_price,segment_d_anchor_target_price,anchor_book_price_per_weight,anchor_floor_price_per_weight,p10,p20,p30,p40,p50,p60,p70,p80,p90
TECHNIPREP F 1867     55G DRUM,NON-DISTRIBUTION,DRUM,DRUM,INDUSTRIAL CLEANERS,ACID CLEANERS / DESCALERS,TECHNI,TECHNIPREP F 1867,0.9821428571428571,0.9821428571428571,0.9821428571428571,1.0214285714285714,1.0214285714285714,1.0803571428571428,0.8766791308628714,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9821428571428571,1.0214285714285714,1.0214285714285714,1.0214285714285714
ACCUCUT 127       55G DRUM,NON-DISTRIBUTION,DRUM,DRUM,METAL REMOVAL,"MINERAL, STRAIGHT",ACCU,ACCUCUT 127,2.4069135071090044,2.4069135071090044,2.4069135071090044,2.4069135071090044,2.4069135071090044,2.5215284360189574,1.373250668367967,2.366516587677725,2.492298578199052,2.492298578199052,2.492298578199052,2.492298578199052,2.492298578199052,2.492298578199052,2.492298578199052,2.492298578199052
PERCHEM OSC-II      5GLPL,NON-DISTRIBUTION,SMALL,DRUM,INDUSTRIAL CLEANERS,MAINTENANCE,PER,PERCHEM OSC-II,2.1695577395577392,2.497199017199017,2.497199017199017,2.497199017199017,2.497199017199017,2.7414610492845783,1.3551589194236253,3.686216216216216,3.686216216216216,3.686216216216216,3.686216216216216,3.686216216216216,3.686216216216216,3.686216216216216,3.686216216216216,3.686216216216216
LC-8200-2X     BULK GALLONS,NON-DISTRIBUTION,BULK,BULK,INDUSTRIAL CLEANERS,MAINTENANCE,LC,CLEANER D-PLUS-2X / ECI-8200-2X / LC-8200-2X,1.9975101064499436,1.9975101064499436,2.1228440739134693,2.1228440739134693,2.1228440739134697,2.1972611170949383,0.6938510601227943,1.6696274951391126,1.9975101064499436,1.9975101064499436,1.9975101064499436,1.9975101064499436,2.1228440739134693,2.1228440739134693,2.1228440739134693,2.1228440739134697
MIRAGE MM CONCENTRATE     400 LB POLY DRUM,NON-DISTRIBUTION,DRUM,DRUM,INDUSTRIAL CLEANERS,ALKALINE CLEANERS / DESCALERS,MIRAGE,SODIUM METASILICATE   (PENTAHYDRATE),0.9670237500000002,0.9670237500000002,0.9670237500000002,0.9670237500000002,0.9670237500000002,1.0130725000000003,0.7793479721246422,1.077525,1.1209749999999998,1.120975,1.120975,1.120975,1.120975,1.120975,1.120975,1.120975
2066-8 - SYN PENETRATING LUBE   55GL DRUM,NON-DISTRIBUTION,DRUM,DRUM,LUBRICANT,MAINTENANCE,ISEL,2066 SYN Penetrating Oil ISO 8,2.672236503856041,2.672236503856041,2.672236503856041,2.672236503856041,2.672236503856041,2.7994858611825197,1.2716953727506428,2.544987146529563,2.544987146529563,2.544987146529563,2.544987146529563,2.544987146529563,2.544987146529563,2.544987146529563,2.544987146529563,2.544987146529563
2066-8 - SYN PENETRATING LUBE   1GL 4X1 CASE BLK,NON-DISTRIBUTION,SMALL,SMALL,LUBRICANT,MAINTENANCE,ISEL,2066 SYN Penetrating Oil ISO 8,2.7166077738515897,3.7929752650176685,3.863215547703181,4.038816254416961,4.038816254416961,4.038816254416961,1.3237689045936396,2.7166077738515897,2.7166077738515897,2.7166077738515897,4.307420494699647,4.307420494699647,4.307420494699647,4.307420494699647,4.307420494699647,4.307420494699647
6531-68 - SYN GEAR & BEARING FLUID   1GL 4X1 CASE BLK,NON-DISTRIBUTION,SMALL,SMALL,LUBRICANT,MAINTENANCE,ISEL,6531/6532 Syn Gear + Bearing Fluid ISO 68,4.192034482758621,4.192034482758621,4.192034482758621,4.192034482758621,4.192034482758621,4.3916551724137936,1.349483699059561,3.9924137931034482,3.9924137931034482,3.9924137931034482,3.9924137931034482,3.9924137931034482,3.9924137931034482,3.9924137931034482,3.9924137931034482,3.9924137931034482
ACCUDRAW 30      5GLPL,NON-DISTRIBUTION,SMALL,DRUM,METAL FORMING,"MINERAL, STRAIGHT",ACCU,ACCUDRAW 30,2.357583148558758,2.357583148558758,2.357583148558758,2.357583148558758,2.8114863414634144,2.9337248780487806,1.368257966228893,3.3241463414634147,3.3241463414634147,3.3241463414634147,3.3241463414634147,3.3241463414634147,3.3241463414634147,3.3241463414634147,3.3241463414634147,3.3241463414634147
ACCUCUT P SPECIAL      55GL DRUM,NON-DISTRIBUTION,DRUM,DRUM,METAL REMOVAL,"MINERAL, STRAIGHT",ACCU,ACCUCUT P SPECIAL,2.460073170731707,2.460073170731707,2.460073170731707,2.460073170731707,2.460073170731707,2.5772195121951214,1.2163258630393994,2.5429268292682923,2.5429268292682923,2.5429268292682923,2.5429268292682923,2.5429268292682923,2.5429268292682923,2.5429268292682923,2.5429268292682923,2.5429268292682923
